locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBDGGIMO_00001	CDS	1020	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
CBDGGIMO_00002	CDS	1800		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
CBDGGIMO_00003	CDS	786		3.1.3.-	COG0561	Putative phosphatase
CBDGGIMO_00004	CDS	465	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
CBDGGIMO_00005	CDS	813	fdhD		COG1526	Sulfur carrier protein FdhD
CBDGGIMO_00006	CDS	612	fdnG_1	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
CBDGGIMO_00007	CDS	2427	fdnG_2	1.17.5.3	COG0243	Formate dehydrogenase, nitrate-inducible, major subunit
CBDGGIMO_00008	CDS	939	fdoH		COG0437	Formate dehydrogenase-O iron-sulfur subunit
CBDGGIMO_00009	CDS	717	fdnI		COG2864	Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit
CBDGGIMO_00010	CDS	909	fdhE		COG3058	Protein FdhE
CBDGGIMO_00011	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
CBDGGIMO_00012	CDS	405	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
CBDGGIMO_00013	CDS	993	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
CBDGGIMO_00014	CDS	909	era		COG1159	GTPase Era
CBDGGIMO_00015	CDS	684	rnc	3.1.26.3	COG0571	Ribonuclease 3
CBDGGIMO_00016	CDS	1050	lepB	3.4.21.89	COG0681	Signal peptidase I
CBDGGIMO_00017	CDS	1797	lepA	3.6.5.-	COG0481	Elongation factor 4
CBDGGIMO_00018	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
CBDGGIMO_00019	CDS	660	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
CBDGGIMO_00020	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
CBDGGIMO_00021	CDS	1440	ybhI		COG0471	Inner membrane protein YbhI
CBDGGIMO_00022	CDS	1398	citG	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
CBDGGIMO_00023	CDS	1503	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
CBDGGIMO_00024	CDS	876	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
CBDGGIMO_00025	CDS	288	citD		COG3052	Citrate lyase acyl carrier protein
CBDGGIMO_00026	CDS	1008	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
CBDGGIMO_00027	CDS	963	lipA	2.8.1.8	COG0320	Lipoyl synthase
CBDGGIMO_00028	CDS	639	lipB	2.3.1.181	COG0321	Octanoyltransferase
CBDGGIMO_00029	CDS	279				hypothetical protein
CBDGGIMO_00030	CDS	1182	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
CBDGGIMO_00031	CDS	864	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
CBDGGIMO_00032	CDS	1116	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
CBDGGIMO_00033	CDS	1956	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
CBDGGIMO_00034	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
CBDGGIMO_00035	CDS	309	rsfS		COG0799	Ribosomal silencing factor RsfS
CBDGGIMO_00036	CDS	1656	aspT			Aspartate/alanine antiporter
CBDGGIMO_00037	CDS	1779	bacA_1		COG4178	Vitamin B12 transport ATP-binding protein BacA
CBDGGIMO_00038	CDS	1056	mreB		COG1077	Cell shape-determining protein MreB
CBDGGIMO_00039	CDS	1056	mreC		COG1792	Cell shape-determining protein MreC
CBDGGIMO_00040	CDS	489	mreD		COG2891	Rod shape-determining protein MreD
CBDGGIMO_00041	CDS	777				hypothetical protein
CBDGGIMO_00042	CDS	804	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
CBDGGIMO_00043	CDS	675	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
CBDGGIMO_00044	CDS	1065				hypothetical protein
CBDGGIMO_00045	CDS	663	yccA		COG0670	Modulator of FtsH protease YccA
CBDGGIMO_00046	tRNA	90				tRNA-Ser(tga)
CBDGGIMO_00047	CDS	555	ytfJ		COG3054	putative protein YtfJ
CBDGGIMO_00048	CDS	327				hypothetical protein
CBDGGIMO_00049	CDS	639	eda		COG0800	Putative KHG/KDPG aldolase
CBDGGIMO_00050	CDS	846		1.-.-.-	COG1028	putative oxidoreductase
CBDGGIMO_00051	CDS	945	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
